"DATE","TIME PERIOD","NEW CISS - Composite Indicator of Systemic Stress. (CISS.D.US.Z0Z.4F.EC.SS_CIN.IDX)"
"1980-01-02","02 Jan 1980","0.2188"
"1980-01-03","03 Jan 1980","0.2197"
"1980-01-04","04 Jan 1980","0.2343"
"1980-01-07","07 Jan 1980","0.2372"
"1980-01-08","08 Jan 1980","0.2367"
"1980-01-09","09 Jan 1980","0.2273"
"1980-01-10","10 Jan 1980","0.2239"
"1980-01-11","11 Jan 1980","0.2083"
"1980-01-14","14 Jan 1980","0.1923"
"1980-01-15","15 Jan 1980","0.1888"
"1980-01-16","16 Jan 1980","0.1753"
"1980-01-17","17 Jan 1980","0.1566"
"1980-01-18","18 Jan 1980","0.1491"
"1980-01-21","21 Jan 1980","0.1536"
"1980-01-22","22 Jan 1980","0.1439"
"1980-01-23","23 Jan 1980","0.1520"
"1980-01-24","24 Jan 1980","0.1524"
"1980-01-25","25 Jan 1980","0.1386"
"1980-01-28","28 Jan 1980","0.1421"
"1980-01-29","29 Jan 1980","0.1294"
"1980-01-30","30 Jan 1980","0.1304"
"1980-01-31","31 Jan 1980","0.1128"
"1980-02-01","01 Feb 1980","0.1142"
"1980-02-04","04 Feb 1980","0.1100"
"1980-02-05","05 Feb 1980","0.1069"
"1980-02-06","06 Feb 1980","0.1091"
"1980-02-07","07 Feb 1980","0.1000"
"1980-02-08","08 Feb 1980","0.0961"
"1980-02-11","11 Feb 1980","0.0881"
"1980-02-12","12 Feb 1980","0.0950"
"1980-02-13","13 Feb 1980","0.0861"
"1980-02-14","14 Feb 1980","0.0815"
"1980-02-15","15 Feb 1980","0.0841"
"1980-02-18","18 Feb 1980","0.0964"
"1980-02-19","19 Feb 1980","0.0941"
"1980-02-20","20 Feb 1980","0.1231"
"1980-02-21","21 Feb 1980","0.1292"
"1980-02-22","22 Feb 1980","0.1416"
"1980-02-25","25 Feb 1980","0.1591"
"1980-02-26","26 Feb 1980","0.1717"
"1980-02-27","27 Feb 1980","0.1930"
"1980-02-28","28 Feb 1980","0.2077"
"1980-02-29","29 Feb 1980","0.1815"
"1980-03-03","03 Mar 1980","0.1557"
"1980-03-04","04 Mar 1980","0.2149"
"1980-03-05","05 Mar 1980","0.2743"
"1980-03-06","06 Mar 1980","0.3457"
"1980-03-07","07 Mar 1980","0.3886"
"1980-03-10","10 Mar 1980","0.3937"
