DATE,NEW CISS - Composite Indicator of Systemic Stress. (CISS.D.US.Z0Z.4F.EC.SS_CIN.IDX)
1/2/1980,0.2188
1/3/1980,0.2197
1/4/1980,0.2343
1/7/1980,0.2372
1/8/1980,0.2367
1/9/1980,0.2273
1/10/1980,0.2239
1/11/1980,0.2083
1/14/1980,0.1923
1/15/1980,0.1888
1/16/1980,0.1753
1/17/1980,0.1566
1/18/1980,0.1491
1/21/1980,0.1536
1/22/1980,0.1439
1/23/1980,0.152
1/24/1980,0.1524
1/25/1980,0.1386
1/28/1980,0.1421
1/29/1980,0.1294
1/30/1980,0.1304
1/31/1980,0.1128
2/1/1980,0.1142
2/4/1980,0.11
2/5/1980,0.1069
2/6/1980,0.1091
2/7/1980,0.1
2/8/1980,0.0961
2/11/1980,0.0881
2/12/1980,0.095
2/13/1980,0.0861
2/14/1980,0.0815
2/15/1980,0.0841
2/18/1980,0.0964
2/19/1980,0.0941
2/20/1980,0.1231
2/21/1980,0.1292
2/22/1980,0.1416
2/25/1980,0.1591
2/26/1980,0.1717
2/27/1980,0.193
2/28/1980,0.2077
2/29/1980,0.1815
3/3/1980,0.1557
3/4/1980,0.2149
3/5/1980,0.2743
3/6/1980,0.3457
3/7/1980,0.3886
3/10/1980,0.3937
3/11/1980,0.3926
3/12/1980,0.3951
3/13/1980,0.3952
3/14/1980,0.3923
3/17/1980,0.4309
3/18/1980,0.4533
3/19/1980,0.4695
3/20/1980,0.4816
3/21/1980,0.5082
3/24/1980,0.5192
3/25/1980,0.5291
3/26/1980,0.5218
3/27/1980,0.553
3/28/1980,0.5424
3/31/1980,0.5546
4/1/1980,0.527
4/2/1980,0.552
4/3/1980,0.568
4/4/1980,0.5759
4/7/1980,0.6074
4/8/1980,0.6386
4/9/1980,0.7002
4/10/1980,0.7069
4/11/1980,0.7069
4/14/1980,0.7345
4/15/1980,0.748
4/16/1980,0.7613
4/17/1980,0.7498
4/18/1980,0.7285
4/21/1980,0.7247
4/22/1980,0.7511
4/23/1980,0.7792
4/24/1980,0.7534
4/25/1980,0.7461
4/28/1980,0.7421
4/29/1980,0.7165
4/30/1980,0.6828
5/1/1980,0.6559
5/2/1980,0.6493
5/5/1980,0.6394
5/6/1980,0.6625
5/7/1980,0.6278
5/8/1980,0.6126
5/9/1980,0.6459
5/12/1980,0.65
5/13/1980,0.6609
5/14/1980,0.6409
5/15/1980,0.5653
5/16/1980,0.5232
5/19/1980,0.5221
5/20/1980,0.5099
5/21/1980,0.5179
5/22/1980,0.4899
5/23/1980,0.4924
5/26/1980,0.4723
5/27/1980,0.4262
5/28/1980,0.4099
5/29/1980,0.4183
5/30/1980,0.4259
6/2/1980,0.4347
6/3/1980,0.441
6/4/1980,0.4205
6/5/1980,0.3998
6/6/1980,0.393
6/9/1980,0.3943
6/10/1980,0.3534
6/11/1980,0.3523
6/12/1980,0.3331
6/13/1980,0.3056
6/16/1980,0.2844
6/17/1980,0.2663
6/18/1980,0.2431
6/19/1980,0.2329
6/20/1980,0.2252
6/23/1980,0.2022
6/24/1980,0.1822
6/25/1980,0.1956
6/26/1980,0.1761
6/27/1980,0.1609
6/30/1980,0.173
7/1/1980,0.166
7/2/1980,0.1656
7/3/1980,0.1708
7/4/1980,0.1648
7/7/1980,0.1381
7/8/1980,0.1365
7/9/1980,0.1254
7/10/1980,0.1189
7/11/1980,0.1166
7/14/1980,0.1195
7/15/1980,0.1151
7/16/1980,0.114
7/17/1980,0.1261
7/18/1980,0.1174
7/21/1980,0.1169
7/22/1980,0.1148
7/23/1980,0.0961
7/24/1980,0.0974
7/25/1980,0.0853
7/28/1980,0.0912
7/29/1980,0.1039
7/30/1980,0.0923
7/31/1980,0.1095
8/1/1980,0.1057
8/4/1980,0.1181
8/5/1980,0.125
8/6/1980,0.1195
8/7/1980,0.1089
8/8/1980,0.1213
8/11/1980,0.1204
8/12/1980,0.0971
8/13/1980,0.0988
8/14/1980,0.103
8/15/1980,0.1146
8/18/1980,0.094
8/19/1980,0.0981
8/20/1980,0.1046
8/21/1980,0.1094
8/22/1980,0.1227
8/25/1980,0.1232
8/26/1980,0.1384
8/27/1980,0.1442
8/28/1980,0.1312
8/29/1980,0.1358
9/1/1980,0.1226
9/2/1980,0.1453
9/3/1980,0.1677
9/4/1980,0.1537
9/5/1980,0.1619
9/8/1980,0.1589
9/9/1980,0.1641
9/10/1980,0.1681
9/11/1980,0.1742
9/12/1980,0.1722
9/15/1980,0.156
9/16/1980,0.1717
9/17/1980,0.1596
9/18/1980,0.1595
9/19/1980,0.188
9/22/1980,0.1794
9/23/1980,0.1771
9/24/1980,0.1839
9/25/1980,0.1669
9/26/1980,0.1833
9/29/1980,0.2208
9/30/1980,0.2547
10/1/1980,0.262
10/2/1980,0.2626
10/3/1980,0.3169
10/6/1980,0.3173
10/7/1980,0.2883
10/8/1980,0.2689
10/9/1980,0.2859
10/10/1980,0.2711
10/13/1980,0.2783
10/14/1980,0.2799
10/15/1980,0.2818
10/16/1980,0.2617
10/17/1980,0.2367
10/20/1980,0.2223
10/21/1980,0.1927
10/22/1980,0.1794
10/23/1980,0.1887
10/24/1980,0.2068
10/27/1980,0.1635
10/28/1980,0.1652
10/29/1980,0.1742
10/30/1980,0.1749
10/31/1980,0.1889
11/3/1980,0.1839
11/4/1980,0.188
11/5/1980,0.1635
11/6/1980,0.1812
11/7/1980,0.2001
11/10/1980,0.2481
11/11/1980,0.2661
11/12/1980,0.3274
11/13/1980,0.3402
11/14/1980,0.3322
11/17/1980,0.3217
11/18/1980,0.3519
11/19/1980,0.3259
11/20/1980,0.3103
11/21/1980,0.3057
11/24/1980,0.2915
11/25/1980,0.2858
11/26/1980,0.292
11/27/1980,0.2687
11/28/1980,0.248
12/1/1980,0.241
12/2/1980,0.2309
12/3/1980,0.2302
12/4/1980,0.2174
12/5/1980,0.2245
12/8/1980,0.2644
12/9/1980,0.285
12/10/1980,0.3123
12/11/1980,0.3486
12/12/1980,0.3507
12/15/1980,0.3671
12/16/1980,0.3839
12/17/1980,0.3961
12/18/1980,0.4039
12/19/1980,0.45
12/22/1980,0.4659
12/23/1980,0.4593
12/24/1980,0.4448
12/25/1980,0.4287
12/26/1980,0.4193
12/29/1980,0.4139
12/30/1980,0.3995
12/31/1980,0.4034
1/1/1981,0.3903
1/2/1981,0.3667
1/5/1981,0.453
1/6/1981,0.4533
1/7/1981,0.427
1/8/1981,0.4473
1/9/1981,0.4354
1/12/1981,0.4154
1/13/1981,0.4079
1/14/1981,0.3782
1/15/1981,0.3489
1/16/1981,0.3262
1/19/1981,0.2846
1/20/1981,0.3076
1/21/1981,0.284
1/22/1981,0.3125
1/23/1981,0.3213
1/26/1981,0.3283
1/27/1981,0.3263
1/28/1981,0.3283
1/29/1981,0.3092
1/30/1981,0.3266
2/2/1981,0.3377
2/3/1981,0.3486
2/4/1981,0.3603
2/5/1981,0.3486
2/6/1981,0.3174
2/9/1981,0.2921
2/10/1981,0.2855
2/11/1981,0.2668
2/12/1981,0.2707
2/13/1981,0.2735
2/16/1981,0.2651
2/17/1981,0.289
2/18/1981,0.2786
2/19/1981,0.3036
2/20/1981,0.2948
2/23/1981,0.2477
2/24/1981,0.2533
2/25/1981,0.2423
2/26/1981,0.2238
2/27/1981,0.2302
3/2/1981,0.2202
3/3/1981,0.2622
3/4/1981,0.2508
3/5/1981,0.2542
3/6/1981,0.2665
3/9/1981,0.2775
3/10/1981,0.2842
3/11/1981,0.2623
3/12/1981,0.249
3/13/1981,0.2536
3/16/1981,0.2511
3/17/1981,0.2494
3/18/1981,0.2439
3/19/1981,0.2219
3/20/1981,0.22
3/23/1981,0.2185
3/24/1981,0.2015
3/25/1981,0.1949
3/26/1981,0.1752
3/27/1981,0.1719
3/30/1981,0.1788
3/31/1981,0.1893
4/1/1981,0.1768
4/2/1981,0.1581
4/3/1981,0.1486
4/6/1981,0.1242
4/7/1981,0.1477
4/8/1981,0.1319
4/9/1981,0.1395
4/10/1981,0.1333
4/13/1981,0.1391
4/14/1981,0.1408
4/15/1981,0.1365
4/16/1981,0.1469
4/17/1981,0.1449
4/20/1981,0.1446
4/21/1981,0.128
4/22/1981,0.1277
4/23/1981,0.1156
4/24/1981,0.1003
4/27/1981,0.0862
4/28/1981,0.0838
4/29/1981,0.0888
4/30/1981,0.0817
5/1/1981,0.0963
5/4/1981,0.1033
5/5/1981,0.1602
5/6/1981,0.1651
5/7/1981,0.1683
5/8/1981,0.1577
5/11/1981,0.1605
5/12/1981,0.168
5/13/1981,0.1734
5/14/1981,0.1743
5/15/1981,0.1703
5/18/1981,0.1652
5/19/1981,0.1594
5/20/1981,0.1668
5/21/1981,0.1751
5/22/1981,0.2027
5/25/1981,0.2133
5/26/1981,0.2034
5/27/1981,0.1758
5/28/1981,0.1903
5/29/1981,0.1884
6/1/1981,0.1634
6/2/1981,0.1878
6/3/1981,0.1962
6/4/1981,0.2163
6/5/1981,0.203
6/8/1981,0.2262
6/9/1981,0.2351
6/10/1981,0.2405
6/11/1981,0.2212
6/12/1981,0.2313
6/15/1981,0.2794
6/16/1981,0.2746
6/17/1981,0.2634
6/18/1981,0.256
6/19/1981,0.2845
6/22/1981,0.279
6/23/1981,0.2593
6/24/1981,0.2454
6/25/1981,0.2576
6/26/1981,0.2512
6/29/1981,0.2423
6/30/1981,0.2395
7/1/1981,0.2304
7/2/1981,0.2398
7/3/1981,0.2449
7/6/1981,0.2786
7/7/1981,0.2724
7/8/1981,0.2658
7/9/1981,0.2531
7/10/1981,0.2594
7/13/1981,0.2574
7/14/1981,0.2635
7/15/1981,0.2751
7/16/1981,0.2799
7/17/1981,0.2793
7/20/1981,0.2388
7/21/1981,0.2412
7/22/1981,0.2564
7/23/1981,0.2612
7/24/1981,0.2687
7/27/1981,0.2758
7/28/1981,0.2896
7/29/1981,0.2982
7/30/1981,0.2936
7/31/1981,0.2825
8/3/1981,0.3324
8/4/1981,0.3523
8/5/1981,0.3463
8/6/1981,0.3587
8/7/1981,0.3597
