month,GPRH
1/1/1900,87.93
2/1/1900,86.57
3/1/1900,72.14
4/1/1900,54.42
5/1/1900,64.41
6/1/1900,83.61
7/1/1900,108.57
8/1/1900,108.50
9/1/1900,62.81
10/1/1900,43.37
11/1/1900,47.34
12/1/1900,49.32
1/1/1901,42.48
2/1/1901,50.14
3/1/1901,47.94
4/1/1901,37.95
5/1/1901,37.38
6/1/1901,31.66
7/1/1901,37.26
8/1/1901,58.16
9/1/1901,41.09
10/1/1901,36.32
11/1/1901,45.12
12/1/1901,51.44
1/1/1902,36.96
2/1/1902,45.69
3/1/1902,38.86
4/1/1902,43.80
5/1/1902,38.26
6/1/1902,38.83
7/1/1902,40.57
8/1/1902,55.66
9/1/1902,51.43
10/1/1902,52.15
11/1/1902,26.34
12/1/1902,53.21
1/1/1903,52.41
2/1/1903,55.74
3/1/1903,31.13
4/1/1903,33.48
5/1/1903,40.75
6/1/1903,33.46
7/1/1903,35.46
8/1/1903,63.50
9/1/1903,65.84
10/1/1903,49.20
11/1/1903,67.45
12/1/1903,65.46
1/1/1904,91.98
2/1/1904,140.37
3/1/1904,93.34
4/1/1904,59.16
5/1/1904,84.39
6/1/1904,66.13
7/1/1904,72.77
8/1/1904,84.45
9/1/1904,70.82
10/1/1904,61.03
11/1/1904,49.91
12/1/1904,45.96
1/1/1905,64.62
2/1/1905,59.16
3/1/1905,67.75
4/1/1905,41.51
5/1/1905,54.15
6/1/1905,69.75
7/1/1905,60.98
8/1/1905,53.23
9/1/1905,49.39
10/1/1905,41.12
11/1/1905,41.32
12/1/1905,45.71
1/1/1906,36.64
2/1/1906,38.85
3/1/1906,33.21
4/1/1906,31.30
5/1/1906,40.37
6/1/1906,42.09
7/1/1906,48.37
8/1/1906,50.43
9/1/1906,67.00
10/1/1906,39.79
11/1/1906,31.11
12/1/1906,29.64
1/1/1907,31.90
2/1/1907,43.50
3/1/1907,34.90
4/1/1907,29.97
5/1/1907,31.97
6/1/1907,47.55
7/1/1907,49.26
8/1/1907,40.47
9/1/1907,26.41
10/1/1907,25.98
11/1/1907,22.89
12/1/1907,28.17
1/1/1908,42.24
2/1/1908,25.95
3/1/1908,30.95
4/1/1908,26.94
5/1/1908,24.83
6/1/1908,36.41
7/1/1908,36.01
8/1/1908,28.47
9/1/1908,21.81
10/1/1908,44.52
11/1/1908,36.16
12/1/1908,39.66
1/1/1909,25.65
2/1/1909,38.03
3/1/1909,38.11
4/1/1909,34.06
5/1/1909,28.99
6/1/1909,25.54
7/1/1909,32.90
8/1/1909,34.89
9/1/1909,24.74
10/1/1909,27.13
11/1/1909,29.10
12/1/1909,31.95
1/1/1910,28.40
2/1/1910,31.38
3/1/1910,33.82
4/1/1910,25.55
5/1/1910,31.40
6/1/1910,29.73
7/1/1910,34.19
8/1/1910,32.83
9/1/1910,25.61
10/1/1910,28.79
11/1/1910,32.58
12/1/1910,36.34
1/1/1911,45.07
2/1/1911,31.03
